datetime,code,open,high,low,close,volume,position,price,tradetime,type
2020-01-17 10:53:00,RB2005,3588.0002441406,3590.0002441406,3588.0002441406,3590.0002441406,1434.0,1376604.0,0.0,2020-01-17 10:53,1min
2020-01-17 10:54:00,RB2005,3589.0002441406,3590.0002441406,3588.0002441406,3589.0002441406,698.0,1376652.0,0.0,2020-01-17 10:54,1min
2020-01-17 10:55:00,RB2005,3589.0002441406,3589.0002441406,3585.0002441406,3585.0002441406,2177.0,1376500.0,0.0,2020-01-17 10:55,1min
2020-01-17 10:56:00,RB2005,3585.0002441406,3588.0002441406,3585.0002441406,3587.0002441406,1850.0,1376279.0,0.0,2020-01-17 10:56,1min
2020-01-17 10:57:00,RB2005,3588.0002441406,3589.0002441406,3586.0002441406,3588.0002441406,1280.0,1375868.0,0.0,2020-01-17 10:57,1min
2020-01-17 10:58:00,RB2005,3588.0002441406,3589.0002441406,3587.0002441406,3589.0002441406,539.0,1375795.0,0.0,2020-01-17 10:58,1min
2020-01-17 10:59:00,RB2005,3589.0002441406,3589.0002441406,3588.0002441406,3589.0002441406,864.0,1376006.0,0.0,2020-01-17 10:59,1min
2020-01-17 11:00:00,RB2005,3588.0002441406,3590.0002441406,3588.0002441406,3589.0002441406,1213.0,1376091.0,0.0,2020-01-17 11:00,1min
2020-01-17 11:01:00,RB2005,3589.0002441406,3592.0002441406,3589.0002441406,3591.0002441406,2204.0,1376682.0,0.0,2020-01-17 11:01,1min
2020-01-17 11:02:00,RB2005,3592.0002441406,3594.0002441406,3591.0002441406,3592.0002441406,3046.0,1376810.0,0.0,2020-01-17 11:02,1min
2020-01-17 11:03:00,RB2005,3592.0002441406,3592.0002441406,3591.0002441406,3592.0002441406,915.0,1376838.0,0.0,2020-01-17 11:03,1min
2020-01-17 11:04:00,RB2005,3592.0002441406,3592.0002441406,3591.0002441406,3592.0002441406,650.0,1376883.0,0.0,2020-01-17 11:04,1min
2020-01-17 11:05:00,RB2005,3591.0002441406,3592.0002441406,3591.0002441406,3591.0002441406,1280.0,1376675.0,0.0,2020-01-17 11:05,1min
2020-01-17 11:06:00,RB2005,3591.0002441406,3592.0002441406,3591.0002441406,3592.0002441406,643.0,1376723.0,0.0,2020-01-17 11:06,1min
2020-01-17 11:07:00,RB2005,3592.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,753.0,1376843.0,0.0,2020-01-17 11:07,1min
2020-01-17 11:08:00,RB2005,3593.0002441406,3595.0002441406,3592.0002441406,3594.0002441406,6133.0,1378048.0,0.0,2020-01-17 11:08,1min
2020-01-17 11:09:00,RB2005,3594.0002441406,3595.0002441406,3593.0002441406,3594.0002441406,1583.0,1378215.0,0.0,2020-01-17 11:09,1min
2020-01-17 11:10:00,RB2005,3594.0002441406,3595.0002441406,3594.0002441406,3595.0002441406,1112.0,1378487.0,0.0,2020-01-17 11:10,1min
2020-01-17 11:11:00,RB2005,3595.0002441406,3595.0002441406,3593.0002441406,3593.0002441406,1163.0,1378773.0,0.0,2020-01-17 11:11,1min
2020-01-17 11:12:00,RB2005,3593.0002441406,3595.0002441406,3592.0002441406,3594.0002441406,3523.0,1380238.0,0.0,2020-01-17 11:12,1min
2020-01-17 11:13:00,RB2005,3594.0002441406,3599.0002441406,3594.0002441406,3598.0002441406,19122.0,1387786.0,0.0,2020-01-17 11:13,1min
2020-01-17 11:14:00,RB2005,3598.0002441406,3599.0002441406,3592.0002441406,3592.0002441406,4978.0,1387721.0,0.0,2020-01-17 11:14,1min
2020-01-17 11:15:00,RB2005,3593.0002441406,3596.0002441406,3592.0002441406,3595.0002441406,3031.0,1387714.0,0.0,2020-01-17 11:15,1min
2020-01-17 11:16:00,RB2005,3596.0002441406,3598.0002441406,3595.0002441406,3597.0002441406,2671.0,1388738.0,0.0,2020-01-17 11:16,1min
2020-01-17 11:17:00,RB2005,3596.0002441406,3597.0002441406,3593.0002441406,3593.0002441406,3189.0,1389473.0,0.0,2020-01-17 11:17,1min
2020-01-17 11:18:00,RB2005,3593.0002441406,3594.0002441406,3593.0002441406,3594.0002441406,1036.0,1389569.0,0.0,2020-01-17 11:18,1min
2020-01-17 11:19:00,RB2005,3594.0002441406,3594.0002441406,3592.0002441406,3592.0002441406,828.0,1389587.0,0.0,2020-01-17 11:19,1min
2020-01-17 11:20:00,RB2005,3593.0002441406,3593.0002441406,3591.0002441406,3593.0002441406,1568.0,1389274.0,0.0,2020-01-17 11:20,1min
2020-01-17 11:21:00,RB2005,3593.0002441406,3595.0002441406,3593.0002441406,3594.0002441406,1458.0,1389777.0,0.0,2020-01-17 11:21,1min
2020-01-17 11:22:00,RB2005,3594.0002441406,3594.0002441406,3591.0002441406,3591.0002441406,1130.0,1389639.0,0.0,2020-01-17 11:22,1min
2020-01-17 11:23:00,RB2005,3592.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,1464.0,1389847.0,0.0,2020-01-17 11:23,1min
2020-01-17 11:24:00,RB2005,3592.0002441406,3593.0002441406,3592.0002441406,3593.0002441406,717.0,1389818.0,0.0,2020-01-17 11:24,1min
2020-01-17 11:25:00,RB2005,3592.0002441406,3592.0002441406,3590.0002441406,3591.0002441406,1870.0,1389396.0,0.0,2020-01-17 11:25,1min
2020-01-17 11:26:00,RB2005,3591.0002441406,3594.0002441406,3591.0002441406,3593.0002441406,1148.0,1389281.0,0.0,2020-01-17 11:26,1min
2020-01-17 11:27:00,RB2005,3593.0002441406,3593.0002441406,3591.0002441406,3591.0002441406,873.0,1389354.0,0.0,2020-01-17 11:27,1min
2020-01-17 11:28:00,RB2005,3592.0002441406,3592.0002441406,3591.0002441406,3591.0002441406,316.0,1389321.0,0.0,2020-01-17 11:28,1min
2020-01-17 11:29:00,RB2005,3592.0002441406,3592.0002441406,3591.0002441406,3591.0002441406,1562.0,1389059.0,0.0,2020-01-17 11:29,1min
2020-01-17 11:30:00,RB2005,3592.0002441406,3594.0002441406,3591.0002441406,3594.0002441406,2543.0,1388726.0,0.0,2020-01-17 11:30,1min
2020-01-17 13:31:00,RB2005,3594.0002441406,3597.0002441406,3593.0002441406,3594.0002441406,5018.0,1390074.0,0.0,2020-01-17 13:31,1min
2020-01-17 13:32:00,RB2005,3594.0002441406,3595.0002441406,3592.0002441406,3594.0002441406,2785.0,1390297.0,0.0,2020-01-17 13:32,1min
2020-01-17 13:33:00,RB2005,3595.0002441406,3596.0002441406,3593.0002441406,3593.0002441406,2322.0,1391006.0,0.0,2020-01-17 13:33,1min
2020-01-17 13:34:00,RB2005,3593.0002441406,3595.0002441406,3592.0002441406,3592.0002441406,1579.0,1390285.0,0.0,2020-01-17 13:34,1min
2020-01-17 13:35:00,RB2005,3593.0002441406,3593.0002441406,3589.0002441406,3589.0002441406,5030.0,1391849.0,0.0,2020-01-17 13:35,1min
2020-01-17 13:36:00,RB2005,3589.0002441406,3591.0002441406,3588.0002441406,3590.0002441406,3440.0,1391563.0,0.0,2020-01-17 13:36,1min
2020-01-17 13:37:00,RB2005,3589.0002441406,3590.0002441406,3588.0002441406,3589.0002441406,1703.0,1391855.0,0.0,2020-01-17 13:37,1min
